index,question,resource,a1,a2,a3,a4,correct
1,"어느 나라의 국기인가요?",ic_flag_of_argentina,"아르헨티나","호주","아르메니아","오스트리아",1
2,"어느 나라의 국기인가요?",ic_flag_of_australia,"앙골라","오스트리아","호주","아르메니아",3
3,"어느 나라의 국기인가요?",ic_flag_of_brazil,"벨라루스","벨리즈","브루나이","브라질",4
4,"어느 나라의 국기인가요?",ic_flag_of_belgium,"바하마","벨기에","바베이도스","벨리즈",2
5,"어느 나라의 국기인가요?",ic_flag_of_fiji,"가봉","프랑스","피지","핀란드",3
6,"어느 나라의 국기인가요?",ic_flag_of_germany,"독일","조지아","그리스","여기에 없음",1
7,"어느 나라의 국기인가요?",ic_flag_of_denmark,"도미니카 연방","이집트","덴마크","이디오피아",3
8,"어느 나라의 국기인가요?",ic_flag_of_india,"아일랜드","이란","헝가리","인도",4
9,"어느 나라의 국기인가요?",ic_flag_of_new_zealand,"호주","뉴질랜드","투발루","USA",2
10,"어느 나라의 국기인가요?",ic_flag_of_kuwait,"쿠웨이트","요르단","수단","팔레스타인",1
